medium	description	compound	name
western	western	fru	fru
western	western	glc	glc
western	western	gal	gal
western	western	man	man
western	western	mnl	mnl
western	western	fuc_L	fuc_L
western	western	glcn	glcn
western	western	rmn	rmn
western	western	arab_L	arab_L
western	western	drib	drib
western	western	rib_D	rib_D
western	western	xyl_D	xyl_D
western	western	oxa	oxa
western	western	lcts	lcts
western	western	malt	malt
western	western	sucr	sucr
western	western	melib	melib
western	western	cellb	cellb
western	western	tre	tre
western	western	strch1	strch1
western	western	amylopect900	amylopect900
western	western	amylose300	amylose300
western	western	arabinan101	arabinan101
western	western	arabinogal	arabinogal
western	western	arabinoxyl	arabinoxyl
western	western	bglc	bglc
western	western	cellul	cellul
western	western	dextran40	dextran40
western	western	galmannan	galmannan
western	western	glcmannan	glcmannan
western	western	homogal	homogal
western	western	inulin	inulin
western	western	kestopt	kestopt
western	western	levan1000	levan1000
western	western	lmn30	lmn30
western	western	lichn	lichn
western	western	pect	pect
western	western	pullulan1200	pullulan1200
western	western	raffin	raffin
western	western	rhamnogalurI	rhamnogalurI
western	western	rhamnogalurII	rhamnogalurII
western	western	starch1200	starch1200
western	western	xylan	xylan
western	western	xyluglc	xyluglc
western	western	arachd	arachd
western	western	chsterol	chsterol
western	western	glyc	glyc
western	western	hdca	hdca
western	western	hdcea	hdcea
western	western	lnlc	lnlc
western	western	lnlnca	lnlnca
western	western	lnlncg	lnlncg
western	western	ocdca	ocdca
western	western	ocdcea	ocdcea
western	western	octa	octa
western	western	ttdca	ttdca
western	western	ala_L	ala_L
western	western	ser_L	ser_L
western	western	cys_L	cys_L
western	western	arg_L	arg_L
western	western	ile_L	ile_L
western	western	leu_L	leu_L
western	western	lys_L	lys_L
western	western	his_L	his_L
western	western	asn_L	asn_L
western	western	thr_L	thr_L
western	western	asp_L	asp_L
western	western	glu_L	glu_L
western	western	met_L	met_L
western	western	gln_L	gln_L
western	western	pro_L	pro_L
western	western	val_L	val_L
western	western	phe_L	phe_L
western	western	tyr_L	tyr_L
western	western	gly	gly
western	western	trp_L	trp_L
western	western	thm	thm
western	western	ribflv	ribflv
western	western	nac	nac
western	western	btn	btn
western	western	pnto_R	pnto_R
western	western	pydxn	pydxn
western	western	pydx	pydx
western	western	pydam	pydam
western	western	fol	fol
western	western	adpcbl	adpcbl
western	western	pheme	pheme
western	western	cbl1	cbl1
western	western	chol	chol
western	western	h2s	h2s
western	western	so4	so4
western	western	spmd	spmd
western	western	na1	na1
western	western	ca2	ca2
western	western	cobalt2	cobalt2
western	western	cl	cl
western	western	k	k
western	western	fe2	fe2
western	western	fe3	fe3
western	western	fe3dcit	fe3dcit
western	western	mg2	mg2
western	western	mn2	mn2
western	western	mobd	mobd
western	western	cu2	cu2
western	western	zn2	zn2
western	western	sel	sel
western	western	pime	pime
western	western	mqn8	mqn8
western	western	12dgr180	12dgr180
western	western	26dap_M	26dap_M
western	western	2obut	2obut
western	western	3mop	3mop
western	western	4hbz	4hbz
western	western	ac	ac
western	western	acgam	acgam
western	western	acnam	acnam
western	western	acmana	acmana
western	western	ade	ade
western	western	adn	adn
western	western	ala_D	ala_D
western	western	arab_D	arab_D
western	western	cgly	cgly
western	western	chor	chor
western	western	cit	cit
western	western	amet	amet
western	western	csn	csn
western	western	cytd	cytd
western	western	dad_2	dad_2
western	western	dcyt	dcyt
western	western	ddca	ddca
western	western	dgsn	dgsn
western	western	for	for
western	western	fum	fum
western	western	glyc3p	glyc3p
western	western	gsn	gsn
western	western	gthox	gthox
western	western	gua	gua
western	western	h	h
western	western	hxan	hxan
western	western	indole	indole
western	western	lanost	lanost
western	western	metsox_S_L	metsox_S_L
western	western	mqn7	mqn7
western	western	ncam	ncam
western	western	nmn	nmn
western	western	orn	orn
western	western	pheme	pheme
western	western	pi	pi
western	western	ptrc	ptrc
western	western	pydx5p	pydx5p
western	western	q8	q8
western	western	sheme	sheme
western	western	spmd	spmd
western	western	thm	thm
western	western	thymd	thymd
western	western	ura	ura
western	western	uri	uri
western	western	xan	xan
western	western	meoh	meoh
western	western	h2o	h2o
western	western	2dmmq8	2dmmq8
western	western	4abz	4abz
western	western	amp	amp
western	western	fald	fald
western	western	gam	gam
western	western	glu_D	glu_D
western	western	gthrd	gthrd
western	western	h2	h2
western	western	no2	no2
western	western	o2	o2